472 1z0000z
7875 700zz00
8702 1zz0zz0
12641 1z00z00
14594 10z00z0
16115 7z00zzz
16659 10zz0z0
20619 1z0z0z0
22637 1z00000
24719 1000000
25765 20z0000
26520 0000000
27456 200z000
28690 1z00000
29210 1zz0000
29696 10z0000
30176 10zz000
30717 100z000
31242 1z0z000
31716 1zzz000
32206 7zaz000
32725 1000000
33710 2z00000
34497 0000000
35375 2zz0000
36664 1zzz000
37169 1z0z000
37686 100z000
38215 10zz000
38707 10z0000
39240 1zz0000
39723 1z00000
40184 7zzz000
40704 4z000zz
44694 400zzz0
46678 4zz000z
48655 40zzz0z
52677 400zzz0
54681 4zz000z
56700 9000000
56974 1000000
58700 9000000
58905 1z00000
60620 9000000
60863 10z0000
62600 9000000
62822 100z000
64550 9000000
64777 1000000
66570 9000000
66778 1z00000
68550 9000000
68771 10z0000
70520 9000000
70721 100z000
72730 5z0000z
76721 50z00zz
80690 60z0z00
84672 6zz000z
88720 1z00000
89070 10z0000
89464 100z000
89711 2zz0000
90720 10zz000
91110 1z0z000
91378 2zzzzzz
92703 1z00000
93197 10z0000
93693 100z000
94172 1zz0000
94676 10zz000
95192 1z0z000
95685 1zzz000
96112 7z00000
100092 2zz0000
97086 300z000
98084 30z0000
99064 3z00000
101049 3zz0000
102072 3z0z000
103085 30zz000
104100 3zzz000
97286 9000000
98284 9000000
99264 9000000
101249 9000000
102272 9000000
103285 9000000
104300 9000000
105195 5zz000z
108637 5z000zz
112710 6z0000z
114728 600z0z0
116718 60z0z00
118722 6zz00zz
120710 6z0zzz0
122707 6z00zz0
124688 6zz000z
126721 60z0z0z
128698 9000000
132713 1z00000
134625 10z0000
136664 9000000
140705 1z00000
142650 10z0000
144662 100z000
145718 1zz0000
145984 1z0z000
146248 10zz000
146494 1zzz000
147408 1z00000
147935 1zz0000
148238 100z000
148478 1z0z000
148743 10zz000
149217 10z0000
149738 1zz0000
150233 100z000
150719 1zzz000
151229 10z0000
151707 0zz0000
